General.ID,Order,Family,Genus,Species,Common.name,IUCN.status,Survivorship,Age,Sex,Year,Month,Day,Date.accuracy,Latitude,Longitude,Location.accuracy,Locality,State.or.Province,Country,Deterrent,Building.height,Pane.type,Data.collection.method
1945,Psittaciformes,Psittacidae,Brotogeris,Brotogeris tirica,Plain Parakeet,Least Concern,Alive,Juvenile,Unknown,2009,February,1,Exact,-23.53,-46.54,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1946,Falconiformes,Falconidae,Falco,Falco sparverius,American Kestrel,Least Concern,Alive,Juvenile,Unknown,2008,October,30,Exact,-23.43,-46.42,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1947,Piciformes,Picidae,Colaptes,Colaptes campestris,Campo Flicker,Least Concern,Alive,Adult,Female,2008,October,17,Exact,-23.43,-46.41,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1948,Piciformes,Picidae,Colaptes,Colaptes campestris,Campo Flicker,Least Concern,Alive,Adult,Unknown,2008,September,15,Exact,-23.42,-46.5,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1949,Piciformes,Picidae,Colaptes,Colaptes campestris,Campo Flicker,Least Concern,Alive,Adult,Unknown,2007,October,1,Exact,-23.45,-46.41,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1950,Piciformes,Picidae,Colaptes,Colaptes campestris,Campo Flicker,Least Concern,Alive,Adult,Unknown,2018,December,26,Exact,-23.48,-46.54,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1951,Passeriformes,Mimidae,Mimus,Mimus saturninus,Chalk-browed Mockingbird,Least Concern,Alive,Adult,Unknown,2018,November,13,Exact,-23.45,-46.5,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1952,Strigiformes,Strigidae,Megascops,Megascops choliba,Tropical Screech-Owl,Least Concern,Alive,Adult,Unknown,2018,November,13,Exact,-23.45,-46.52,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1953,Strigiformes,Strigidae,Megascops,Megascops choliba,Tropical Screech-Owl,Least Concern,Alive,Adult,Unknown,2018,November,12,Exact,-23.44,-46.55,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1954,Passeriformes,Thraupidae,Thraupis,Thraupis sayaca,Sayaca Tanager,Least Concern,Alive,Adult,Unknown,2018,November,8,Exact,-23.45,-46.52,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1955,Passeriformes,Tyrannidae,Pitangus,Pitangus sulphuratus,Great Kiskadee,Least Concern,Alive,Adult,Unknown,2018,October,4,Exact,-23.47,-46.55,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1956,Cuculiformes,Cuculidae,Tapera,Tapera naevia,Striped Cuckoo,Least Concern,Alive,Adult,Unknown,2018,October,3,Exact,-23.44,-46.51,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1957,Caprimulgiformes,Caprimulgidae,Nyctidromus,Nyctidromus albicollis,Common Pauraque,Least Concern,Alive,Adult,Female,2018,September,24,Exact,-23.53,-46.66,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1958,Passeriformes,Parulidae,Geothlypis,Geothlypis aequinoctialis,Masked Yellowthroat,Least Concern,Alive,Adult,Male,2018,August,20,Exact,-23.42,-46.37,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1959,Cuculiformes,Cuculidae,Crotophaga,Crotophaga ani,Smooth-billed Ani,Least Concern,Alive,Adult,Unknown,2018,August,4,Exact,-23.45,-46.5,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1960,Cuculiformes,Cuculidae,Crotophaga,Crotophaga ani,Smooth-billed Ani,Least Concern,Alive,Adult,Unknown,2018,August,4,Exact,-23.45,-46.5,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1961,Cuculiformes,Cuculidae,Crotophaga,Crotophaga ani,Smooth-billed Ani,Least Concern,Alive,Adult,Unknown,2018,August,4,Exact,-23.45,-46.5,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1962,Piciformes,Ramphastidae,Ramphastos,Ramphastos dicolorus,Red-breasted Toucan,Least Concern,Alive,Adult,Unknown,2018,July,23,Exact,-23.46,-46.49,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1963,Psittaciformes,Psittacidae,Brotogeris,Brotogeris tirica,Plain Parakeet,Least Concern,Alive,Adult,Unknown,2018,July,10,Exact,-23.43,-46.54,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1964,Psittaciformes,Psittacidae,Brotogeris,Brotogeris tirica,Plain Parakeet,Least Concern,Alive,Adult,Unknown,2018,July,10,Exact,-23.43,-46.54,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1965,Piciformes,Picidae,Dryobates,Dryobates spilogaster,White-spotted Woodpecker,Least Concern,Alive,Adult,Female,2018,June,11,Exact,-23.33,-46.62,Precise,Mairipora,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
